,prec_no,県,No,i,地点名,block_no,緯度（度、分),緯度（度、分)2,経度（度、分),経度（度、分)2,標高(m)
173,33,岩手,421,56,"""区界""",1447,39,39.0,141,21.2,760.0
174,33,岩手,422,57,"""大槌""",1508,39,26.3,141,48.4,120.0
175,33,岩手,423,58,"""大東""",1557,39,2.3,141,17.8,140.0
176,33,岩手,424,59,"""金ヶ崎""",1558,39,13.5,141,0.9,170.0
177,33,岩手,425,60,"""滝沢""",1560,39,46.8,141,5.8,210.0
178,33,岩手,426,61,"""附馬牛""",1563,39,27.4,141,30.4,440.0
179,33,岩手,427,62,"""厳美""",1598,38,59.0,140,54.7,230.0
180,33,岩手,428,63,"""刈屋""",1627,39,38.5,141,46.4,140.0
181,33,岩手,429,64,"""新町""",1628,39,21.6,141,54.4,2.0
182,33,岩手,430,65,"""陸前高田""",1629,39,1.5,141,37.8,61.0
183,33,岩手,431,66,"""一方井""",1653,39,58.4,141,10.0,285.0
184,34,宮城,432,1,"""栗駒山""",241,38,56.7,140,48.2,1100.0
185,34,宮城,433,2,"""気仙沼""",242,38,54.4,141,33.4,62.0
186,34,宮城,434,3,"""川渡""",243,38,44.6,140,45.6,170.0
187,34,宮城,435,4,"""築館""",244,38,44.1,141,0.3,25.0
188,34,宮城,436,5,"""箕輪山""",245,38,39.8,140,38.4,680.0
189,34,宮城,437,6,"""志津川""",246,38,40.9,141,26.9,39.0
190,34,宮城,438,7,"""古川""",247,38,35.9,140,54.7,28.0
191,34,宮城,439,8,"""大衡""",248,38,28.4,140,53.3,57.0
192,34,宮城,440,9,"""鹿島台""",249,38,27.6,141,5.5,3.0
193,34,宮城,441,10,"""石巻""",47592,38,25.6,141,17.9,42.5
194,34,宮城,442,11,"""新川""",251,38,18.2,140,38.2,265.0
195,34,宮城,443,12,"""鷹巣山""",252,38,15.8,140,35.5,705.0
196,34,宮城,444,13,"""仙台""",47590,38,15.7,140,53.8,38.9
197,34,宮城,445,14,"""川崎""",254,38,10.7,140,38.1,200.0
198,34,宮城,446,15,"""不忘山""",255,38,4.3,140,30.1,1050.0
199,34,宮城,447,16,"""白石""",256,38,0.9,140,36.7,86.0
200,34,宮城,448,17,"""亘理""",257,38,1.5,140,51.5,4.0
201,34,宮城,449,18,"""雄勝""",985,38,31.3,141,28.2,5.0
202,34,宮城,450,19,"""米山""",1029,38,37.6,141,11.3,5.0
203,34,宮城,451,20,"""塩釜""",1030,38,20.3,141,0.8,105.0
204,34,宮城,452,21,"""駒ノ湯""",1126,38,54.8,140,49.7,525.0
205,34,宮城,453,22,"""丸森""",1220,37,55.9,140,46.7,18.0
206,34,宮城,454,23,"""花山""",1267,38,46.4,140,52.0,150.0
207,34,宮城,455,24,"""江ノ島""",1290,38,23.9,141,35.8,40.0
208,34,宮城,456,25,"""筆甫""",1298,37,49.6,140,43.7,305.0
209,34,宮城,457,26,"""泉ケ岳""",1365,38,24.4,140,43.3,630.0
210,34,宮城,458,27,"""名取""",1464,38,8.3,140,55.0,2.0
211,34,宮城,459,28,"""鴬沢""",1526,38,48.3,140,56.9,33.0
212,34,宮城,460,29,"""加美""",1561,38,34.3,140,43.6,195.0
213,34,宮城,461,30,"""蔵王""",1564,38,7.6,140,40.8,112.0
214,34,宮城,462,31,"""栗駒深山""",1597,38,51.8,140,50.6,550.0
215,34,宮城,463,32,"""栗駒""",1600,38,56.4,140,49.0,850.0
216,34,宮城,464,33,"""女川""",1626,38,27.2,141,26.4,35.0
217,34,宮城,465,34,"""桃生""",1630,38,33.6,141,14.7,5.0
218,34,宮城,466,35,"""東松島""",1631,38,25.6,141,12.8,4.0
219,34,宮城,467,36,"""岩沼""",1632,38,6.4,140,52.6,4.0
220,35,山形,468,1,"""鳥海山""",258,39,4.0,140,2.2,1199.0
221,35,山形,469,2,"""酒田""",47587,38,54.5,139,50.6,3.1
222,35,山形,470,3,"""差首鍋""",260,38,55.1,140,12.0,88.0
223,35,山形,471,4,"""太平山""",261,38,54.1,140,23.1,509.0
224,35,山形,472,5,"""金山""",262,38,52.7,140,19.9,170.0
225,35,山形,473,6,"""鶴岡""",263,38,44.1,139,49.7,16.0
226,35,山形,474,7,"""狩川""",264,38,48.0,139,58.4,17.0
227,35,山形,475,8,"""新庄""",47520,38,45.4,140,18.7,105.1
228,35,山形,476,9,"""瀬見""",266,38,45.3,140,24.8,150.0
229,35,山形,477,10,"""温海岳""",267,38,37.7,139,37.8,620.0
230,35,山形,478,11,"""櫛引""",268,38,40.3,139,50.9,33.0
231,35,山形,479,12,"""月山""",269,38,29.9,140,6.1,770.0
232,35,山形,480,13,"""銀山""",270,38,33.7,140,31.6,440.0
233,35,山形,481,14,"""楯岡""",271,38,28.4,140,23.9,118.0
234,35,山形,482,15,"""左沢""",272,38,22.2,140,11.5,133.0
235,35,山形,483,16,"""山形""",47588,38,15.3,140,20.7,152.5
236,35,山形,484,17,"""葉山""",274,38,9.7,139,58.9,970.0
237,35,山形,485,18,"""長井""",275,38,6.3,140,0.9,210.0
